Name, Team, Position, Season, VORP Raw, VORP Per Game, Points Total, Points Per Game
Josh Allen, , QB, 2022, 93.42999999999999, 6.306249999999999, 180.89999999999998, 11.306249999999999
Lamar Jackson, , QB, 2022, 66.71000000000002, 4.63625, 154.18, 9.63625
Jalen Hurts, , QB, 2022, 60.39000000000003, 4.241250000000001, 147.86, 9.24125
Patrick Mahomes, , QB, 2022, 57.270000000000024, 4.046250000000001, 144.74, 9.04625
Joe Burrow, , QB, 2022, 43.17, 3.164999999999999, 130.64, 8.165
Kyler Murray, , QB, 2022, 26.350000000000023, 2.1137500000000005, 113.82000000000001, 7.1137500000000005
Geno Smith, , QB, 2022, 25.110000000000014, 2.03625, 112.58, 7.03625
Justin Herbert, , QB, 2022, 20.77000000000001, 1.7649999999999997, 108.24, 6.765
Trevor Lawrence, , QB, 2022, 20.510000000000005, 1.7487499999999994, 107.97999999999999, 6.748749999999999
Carson Wentz, , QB, 2022, 13.990000000000023, 1.3412500000000005, 101.46000000000001, 6.3412500000000005
Marcus Mariota, , QB, 2022, 13.330000000000027, 1.3000000000000007, 100.80000000000001, 6.300000000000001
Kirk Cousins, , QB, 2022, 11.41000000000001, 1.1799999999999997, 98.88, 6.18
Matt Ryan, , QB, 2022, 9.03000000000003, 1.0312500000000009, 96.50000000000001, 6.031250000000001
Jared Goff, , QB, 2022, 9.030000000000015, 1.03125, 96.5, 6.03125
Tom Brady, , QB, 2022, 8.91000000000001, 1.0237499999999997, 96.38, 6.02375
Daniel Jones, , QB, 2022, 6.970000000000013, 0.9024999999999999, 94.44, 5.9025
Russell Wilson, , QB, 2022, 3.910000000000011, 0.7112499999999997, 91.38, 5.71125
Aaron Rodgers, , QB, 2022, 2.5500000000000256, 0.6262500000000006, 90.02000000000001, 5.626250000000001
Jacoby Brissett, , QB, 2022, 1.7700000000000102, 0.5774999999999997, 89.24, 5.5775
Derek Carr, , QB, 2022, -1.4099999999999824, 0.37875000000000014, 86.06, 5.37875
Justin Fields, , QB, 2022, -7.509999999999977, -0.0024999999999995026, 79.96000000000001, 4.9975000000000005
Matthew Stafford, , QB, 2022, -7.72999999999999, -0.01625000000000032, 79.74, 4.98375
Jimmy Garoppolo, , QB, 2022, -8.549999999999983, -0.0674999999999999, 78.92, 4.9325
Tua Tagovailoa, , QB, 2022, -16.969999999999985, -0.59375, 70.5, 4.40625
Ryan Tannehill, , QB, 2022, -19.56999999999998, -0.7562499999999996, 67.9, 4.24375
Baker Mayfield, , QB, 2022, -26.98999999999998, -1.2199999999999998, 60.480000000000004, 3.7800000000000002
Cooper Rush, , QB, 2022, -29.06999999999998, -1.3499999999999996, 58.400000000000006, 3.6500000000000004
Davis Mills, , QB, 2022, -29.34999999999998, -1.3674999999999997, 58.120000000000005, 3.6325000000000003
Joe Flacco, , QB, 2022, -33.829999999999984, -1.6475, 53.64, 3.3525
Mitchell Trubisky, , QB, 2022, -36.68999999999999, -1.8262500000000004, 50.779999999999994, 3.1737499999999996
Jameis Winston, , QB, 2022, -40.54999999999998, -2.0675, 46.92, 2.9325
Mac Jones, , QB, 2022, -43.329999999999984, -2.24125, 44.14, 2.75875
Zach Wilson, , QB, 2022, -47.58999999999998, -2.5075, 39.88, 2.4925
Bailey Zappe, , QB, 2022, -48.12999999999998, -2.54125, 39.34, 2.45875
Kenny Pickett, , QB, 2022, -50.80999999999999, -2.70875, 36.66, 2.29125
Andy Dalton, , QB, 2022, -52.369999999999976, -2.8062499999999995, 35.10000000000001, 2.1937500000000005
Teddy Bridgewater, , QB, 2022, -55.48999999999999, -3.00125, 31.979999999999997, 1.9987499999999998
Trey Lance, , QB, 2022, -74.00999999999999, -4.1587499999999995, 13.46, 0.84125
Skylar Thompson, , QB, 2022, -77.36999999999998, -4.36875, 10.100000000000001, 0.6312500000000001
Tom Kennedy, , QB, 2022, -79.06999999999998, -4.475, 8.4, 0.525
Dak Prescott, , QB, 2022, -82.00999999999999, -4.6587499999999995, 5.460000000000001, 0.34125000000000005
Ryan Griffin, , QB, 2022, -83.56999999999998, -4.75625, 3.9000000000000004, 0.24375000000000002
Jordan Love, , QB, 2022, -84.54999999999998, -4.8175, 2.92, 0.1825
Trace McSorley, , QB, 2022, -84.98999999999998, -4.845, 2.48, 0.155
Tyrod Taylor, , QB, 2022, -85.02999999999999, -4.8475, 2.44, 0.1525
Malik Willis, , QB, 2022, -85.62999999999998, -4.885, 1.84, 0.115
Jeff Driskel, , QB, 2022, -85.96999999999998, -4.90625, 1.5, 0.09375
Brian Hoyer, , QB, 2022, -85.98999999999998, -4.9075, 1.48, 0.0925
Jacob Eason, , QB, 2022, -86.10999999999999, -4.915, 1.3599999999999999, 0.08499999999999999
Case Keenum, , QB, 2022, -87.14999999999999, -4.98, 0.32, 0.02
Tony Adams, , QB, 2022, -87.46999999999998, -5, 0, 0
Tyrie Adams, , QB, 2022, -87.46999999999998, -5, 0, 0
Vernon Adams, , QB, 2022, -87.46999999999998, -5, 0, 0
Rob Adamson, , QB, 2022, -87.46999999999998, -5, 0, 0
Sam Adkins, , QB, 2022, -87.46999999999998, -5, 0, 0
Troy Aikman, , QB, 2022, -87.46999999999998, -5, 0, 0
Erik Ainge, , QB, 2022, -87.46999999999998, -5, 0, 0
Davis Alexander, , QB, 2022, -87.46999999999998, -5, 0, 0
Don Allard, , QB, 2022, -87.46999999999998, -5, 0, 0
Austin Allen, , QB, 2022, -87.46999999999998, -5, 0, 0
